slug,title,authors,date
mith-hiring-audiovisual-data-curation-ga,MITH is Hiring an Audiovisual Data Curation Graduate Assistant!,Stephanie Sapienza,2/2/2021 17:08
things-look-different-around-here,Things look different around here,Trevor Muñoz,11/9/2020 16:09
introducing-jeffrey-moro-2020-winnemore-fellow,"Introducing Jeffrey Moro, 2020 Winnemore Fellow",MITH,5/27/2020 12:10
announcing-the-spring-2020-digital-dialogues-line-up,Announcing the Spring 2020 Digital Dialogues Line Up,Stephanie Sapienza,2/10/2020 10:29
nominations-open-spring-2020-digital-dialogues,"Nominations Open, Spring 2020 Digital Dialogues",Purdom Lindblad,10/14/2019 9:32
the-cleaners-movie-night-oct-30,The Cleaners: Movie Night (Oct 30),Ed Summers,10/7/2019 13:29
mark-your-calendars-fall-2019-digital-dialogues-line-up,Mark your calendars! Fall 2019 Digital Dialogues Line Up,Purdom Lindblad,9/18/2019 10:47
new-team-members-at-aadhum-and-mith,New Team Members at AADHum and MITH,Trevor Muñoz,9/5/2019 10:27
winnemore-fall-2020,Call for Proposals: Winnemore Fellowship - Updated Deadline,Purdom Lindblad,8/13/2019 10:00
my-time-as-a-mith-winnemore-dissertation-fellow,My Time as a MITH Winnemore Dissertation Fellow,Kyle Bickoff,6/18/2019 10:00
data-histories-and-natural-history-andrea-thomer,Data Histories and Natural History—Andrea Thomer,Ed Summers,4/23/2019 9:05
measuring-impact-of-digital-repositories-simon-tanner,Measuring Impact of Digital Repositories - Simon Tanner,Ed Summers,4/23/2019 9:03
old-futures-book-launch-alexis-lothian,Old Futures Book Launch—Alexis Lothian,Ed Summers,4/23/2019 8:56
launch-of-early-modern-songscapes-beta-site-encoding-and-publishing-strategies,Launch of Early Modern Songscapes Beta Site: Encoding and Publishing strategies,Raff Viglianti,2/13/2019 10:50
announcing-the-spring-2019-digital-dialogues,Announcing the Spring 2019 Digital Dialogues!,Purdom Lindblad,2/5/2019 12:40
mith-welcomes-tsey-haye-preaster,MITH welcomes T'Sey-Haye Preaster,Trevor Muñoz,12/13/2018 11:46
documenting-the-now-phase-2,Documenting the Now Phase 2,Ed Summers,10/16/2018 17:01
mith-appoints-affiliate-faculty,MITH Appoints Affiliate Faculty,Trevor Muñoz,10/11/2018 10:08
call-for-nominations-spring-2019-digital-dialogues,"Call for Nominations, Spring 2019 Digital Dialogues",Purdom Lindblad,10/10/2018 9:06
reactionary-twitter-politics-a-data-story,Reactionary Twitter Politics: A Data Story,Jeannette Schollaert,10/9/2018 15:42
help-shape-a-conversation-about-black-digital-collections-at-aadhum2018,Help Shape a Conversation About Black Digital Collections at #AADHum2018,Trevor Muñoz,10/8/2018 9:20
reckoning-with-digital-projects-mith-makes-a-roadmap,Reckoning with Digital Projects: MITH Makes a Roadmap,Stephanie Sapienza,10/4/2018 16:20
2019-winnemore,2019 Winnemore Dissertation Fellowship Call for Applications,Purdom Lindblad,10/1/2018 15:29
organizational-meeting-for-umd-dh-ds-student-group-september-18th,Organizational Meeting for UMD DH/DS Student Group—September 18th,MITH,9/13/2018 12:40
fall-2018-digital-dialogue-lineup,Announcing the Fall 2018 Digital Dialogue Lineup,Stephanie Sapienza,8/28/2018 11:38
assessing-interest-in-a-dh-ds-student-organization,Assessing Interest in a DH/DS Student Organization,MITH,8/28/2018 10:30
engineering-a-data-story,#Engineering: A Data Story,Misti Yang,8/27/2018 16:18
little-big-data,Little Big Data,Ed Summers,8/3/2018 8:45
summer-interns-contribute-research-to-the-lakeland-digital-archive,Summer Interns Contribute Research to the Lakeland Digital Archive,Trevor Muñoz,7/18/2018 9:04
report-music-encoding-conference-2018,Report: Music Encoding Conference 2018,Raff Viglianti,5/30/2018 15:42
mith-receives-neh-grant-for-unlocking-the-airwaves-revitalizing-an-early-public-and-educational-radio-collection,"MITH Receives NEH Grant for “Unlocking the Airwaves""",Stephanie Sapienza,5/10/2018 11:17
monitoring-climate-data-on-the-web,Monitoring Climate Data on the Web,Ed Summers,5/3/2018 13:59
archives-in-the-anthropocene,Archives in the Anthropocene,Purdom Lindblad,3/20/2018 15:19
roopika-risam,"Roopika Risam, Thursday March 8 at MITH: 'Visualizing Du Bois: The Politics of Literary Recovery'",MITH,3/5/2018 18:55
inviting-umd-participants-regional-dh-symposium-march-9-2018,"Inviting UMD Participants to a Regional DH Symposium, March 9, 2018",Purdom Lindblad,2/22/2018 10:27
ethics-and-archiving-the-web,Ethics and Archiving the Web,Ed Summers,2/19/2018 14:47
endangered-data-week-february-26-march-2-2018,"Endangered Data Week, February 26 - March 2, 2018",Purdom Lindblad,2/19/2018 12:18
advocacy-design-moving-theory-practice-part-3,Advocacy By Design: Moving Between Theory and Practice—Part 3,Purdom Lindblad,2/9/2018 8:00
